Group,DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber,
4,06-Aug-21,7,14,21,26,32,4,12,JKMX72651,1448,
3,03-Aug-21,17,21,23,45,46,7,11,MKNB99588,1447,
3,30-Jul-21,10,23,33,35,37,5,10,XJMN89120,1446,
3,27-Jul-21,5,9,19,21,25,10,12,MHMJ77060,1445,
3,23-Jul-21,23,24,26,34,50,2,4,XGLZ08350,1444,
3,20-Jul-21,3,12,19,41,48,6,9,ZFLR28693,1443,
3,16-Jul-21,5,16,42,47,49,3,11,TDLD77788,1442,
3,13-Jul-21,5,6,8,11,22,3,4,ZCKZ24880,1441,
4,09-Jul-21,6,19,36,37,49,4,11,ZBKS41795,1440,
3,06-Jul-21,2,5,21,27,42,9,11,JZKJ71038,1439,
5,02-Jul-21,9,14,29,38,49,7,10,"HWJJ90580,HXJW20318,HXKD91341,JWJG52544,JXJR64142,JXKC44946,MWJG13652,MWJN06638,MXJR10738,MXKB00924,MXKB55829,TWJD53925,TWJF85078,TXJV25096,VXJP82520,VXJP96861,XXJX05479,ZXJR71182,ZXJS06386,ZXJZ69776",1438,
4,29-Jun-21,6,12,20,24,48,5,6,ZWJM64577,1437,
3,25-Jun-21,1,29,30,33,36,3,12,JTHK40424,1436,
3,22-Jun-21,6,24,26,27,41,3,8,TTHQ06159,1435,
4,18-Jun-21,11,20,27,30,41,3,5,HSHJ77861,1434,
3,15-Jun-21,11,21,26,30,31,2,3,JRGV92718,1433,
4,11-Jun-21,9,17,21,33,39,7,11,JQGL51433,1432,
5,08-Jun-21,2,11,26,36,47,7,9,XPGK02042,1431,
4,04-Jun-21,7,20,36,40,46,2,4,TNFQ49792,1430,
5,01-Jun-21,3,10,26,35,44,6,7,ZMFD00211,1429,
3,28-May-21,11,13,16,34,40,1,12,HLDQ69386,1428,
3,25-May-21,1,21,26,30,38,2,8,VHCL87273,1427,
3,21-May-21,2,9,13,15,35,3,10,VJCR55451,1426,
4,18-May-21,5,13,38,39,40,4,12,THCS17921,1425,
4,14-May-21,6,16,18,29,38,6,11,MFBT79907,1424,
4,11-May-21,14,25,34,43,46,5,6,TFBR93892,1423,
4,07-May-21,14,22,33,38,47,8,9,XDBJ64037,1422,
4,04-May-21,3,10,13,28,46,4,11,JCZZ63740,1421,
4,30-Apr-21,1,16,24,28,46,2,11,"JBZM54765,JBZT63124,JBZT72197,MBZM71633,TBZV80325,TZZD14106,XZZB58932,XZZF64550,ZBZT98103,ZVWT35504",1420,
4,27-Apr-21,13,14,24,35,49,1,10,XZZF28583,1419,
3,23-Apr-21,3,14,15,19,29,2,8,HXXW20886,1418,
4,20-Apr-21,5,17,28,41,46,10,11,XWXL23220,1417,
4,16-Apr-21,6,11,29,40,48,5,9,HVWX68256,1416,
5,13-Apr-21,16,20,31,47,50,2,8,HPTQ70860,1415,
3,09-Apr-21,2,8,32,35,44,8,11,TNTB22523,1414,
